target_time,submercado,horizon,pred_gross,pld_brl_mwh,temperature,radiation,weekday,feriado_nacional,carnaval,corpus_christi,emenda,vespera_feriado,pos_feriado,frac_pop_feriado_estadual
2026-09-17 21:00:00-03:00,N,7,10420.51368882474,166.35,29.81747747747748,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 21:00:00-03:00,NE,1,16927.437375789057,166.34,26.444154589371983,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 21:00:00-03:00,NE,7,16382.273523445409,166.34,26.282222222222224,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 21:00:00-03:00,S,1,15504.319045532608,166.34,12.603571428571428,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 21:00:00-03:00,S,7,15371.547746343493,166.34,11.932967032967031,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 21:00:00-03:00,SECO,1,50310.87323295225,166.35,18.990790939472703,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 21:00:00-03:00,SECO,7,50228.91071303158,166.35,18.683921277385814,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 22:00:00-03:00,N,1,10709.45867412152,158.73,29.183783783783788,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 22:00:00-03:00,N,7,10625.782912022554,158.73,29.225585585585584,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 22:00:00-03:00,NE,1,16705.50014802499,158.72,26.160386473429952,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 22:00:00-03:00,NE,7,16185.22873006974,158.72,25.87410628019324,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 22:00:00-03:00,S,1,14266.574991153087,158.72,12.207417582417582,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 22:00:00-03:00,S,7,14321.67312922528,158.72,11.442307692307692,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 22:00:00-03:00,SECO,1,47076.26958930445,158.73,18.64352023765317,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 22:00:00-03:00,SECO,7,47059.81067259691,158.73,18.317378388414408,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 23:00:00-03:00,N,1,10557.914279085706,152.78,28.6945945945946,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 23:00:00-03:00,N,7,10516.520689273422,152.78,28.661801801801804,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 23:00:00-03:00,NE,1,16105.63433866538,152.77,25.92338164251208,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 23:00:00-03:00,NE,7,15610.585317830324,152.77,25.432463768115944,0.0,3,0,0,0,0,0,0,0.0
